p_name,p_draftYear,p_draftPick,p_draftPos,Last Active Year,p_games,p_stats
Alex Caruso,2018,,,2022,,
Cornelius Cash,1977,,,1977,,
Sam Cash,1973,,,1973,,
Sam Cassell,1994,24,,2008,,
Omri Casspi,2010,23,,2019,,
Harvey Catchings,1975,,,1985,,
Terry Catledge,1986,,,1993,,
Sid Catlett,1972,,,1972,,
Kelvin Cato,1998,15,,2007,,
Bobby Cattage,1982,,,1986,,
Willie Cauley-Stein,2016,6,,2022,,
Troy Caupain,2019,,,2019,,
Duane Causwell,1991,18,,2001,,
Tyler Cavanaugh,2018,,,2019,,
Ron Cavenall,1985,,,1989,,
Ahmad Caver,2022,,,2022,,
Cedric Ceballos,1991,48,,2001,,
John Celestand,2000,30,,2000,,
Al Cervi*,1950,,,1953,,
Lionel Chalmers,2005,33,,2005,,
Mario Chalmers,2009,34,,2018,,
Bill Chamberlain,1973,,,1974,,
Wilt Chamberlain*,1960,,,1973,,
Jerry Chambers,1967,,,1974,,
Tom Chambers,1982,,,1998,,
Justin Champagnie,2022,,,2022,,
Mike Champion,1989,,,1989,,
Tyson Chandler,2002,2,,2020,,
Wilson Chandler,2008,23,,2020,,
Don Chaney,1969,,,1980,,
John Chaney,1950,,,1950,,
Rex Chapman,1989,,,2000,,
Wayne Chapman,1969,,,1972,,
Len Chappell,1963,,,1972,,
Ken Charles,1974,,,1978,,
Lorenzo Charles,1986,,,1986,,
Joe Chealey,2019,,,2020,,
Calbert Cheaney,1994,6,,2006,,
Zylan Cheatham,2020,,,2022,,
Maurice Cheeks*,1979,,,1993,,
Phil Chenier,1972,,,1981,,
Will Cherry,2015,,,2015,,
Derrick Chievous,1989,,,1991,,
Pete Chilcutt,1992,27,,2000,,
Josh Childress,2005,6,,2014,,
Randolph Childress,1996,19,,1997,,
Chris Childs,1995,,,2003,,
Chris Chiozza,2019,,,2022,,
Leroy Chollet,1950,,,1951,,
Jim Chones,1973,,,1982,,
Marquese Chriss,2017,8,,2022,,
Fred Christ,1955,,,1955,,
Cal Christensen,1951,,,1955,,
Bob Christian,1970,,,1974,,
Doug Christie,1993,17,,2007,,
Dionte Christmas,2014,,,2014,,
Rakeem Christmas,2016,36,,2017,,
Semaj Christon,2017,55,,2017,,
Josh Christopher,2022,24,,2022,,
Patrick Christopher,2015,,,2015,,
Stephen Chubin,1968,,,1970,,
Robert Churchwell,1996,,,1996,,
Archie Clark,1967,,,1976,,
Carlos Clark,1984,,,1985,,
Earl Clark,2010,14,,2015,,
Gary Clark,2019,,,2022,,
Ian Clark,2014,,,2019,,
Keon Clark,1999,13,,2004,,
Richard Clark,1968,,,1969,,
Brandon Clarke,2020,21,,2022,,
Coty Clarke,2016,,,2016,,
Jordan Clarkson,2015,46,,2022,,
Gian Clavell,2018,,,2018,,
Victor Claver,2013,22,,2015,,
John Clawson,1969,,,1969,,
Charles Claxton,1996,50,,1996,,
Nic Claxton,2020,31,,2022,,
Speedy Claxton,2002,20,,2009,,
Jim Cleamons,1972,,,1980,,
Mateen Cleaves,2001,14,,2006,,
Barry Clemens,1966,,,1976,,
Chris Clemons,2020,,,2020,,
Antonius Cleveland,2018,,,2020,,
Nat Clifton*,1951,,,1958,,
Bill Closs,1950,,,1952,,
Keith Closs,1998,,,2000,,
Paul Cloyd,1950,,,1950,,
Bob Cluggish,1947,,,1947,,
Ben Clyde,1975,,,1975,,
Amir Coffey,2020,,,2022,,
Richard Coffey,1991,,,1991,,
Fred Cofield,1986,,,1987,,
John Coker,1996,,,2001,,
Norris Cole,2012,28,,2017,,
Ben Coleman,1987,,,1994,,
Derrick Coleman,1991,1,,2005,,
E.C. Coleman,1974,,,1979,,
Jack Coleman,1950,,,1958,,
Norris Coleman,1988,,,1988,,
Bimbo Coles,1991,40,,2004,,
Jason Collier,2001,15,,2005,,
Jason Collier,2001,18,,2005,,
Art Collins,1981,,,1981,,
Don Collins,1981,,,1987,,
Doug Collins,1974,,,1981,,
James Collins,1998,36,,1998,,
Jarron Collins,2002,53,,2011,,
Jarron Collins,2002,18,,2011,,
Jarron Collins,2002,15,,2011,,
Jason Collins,2002,18,,2014,,
Jason Collins,2002,15,,2014,,
Jimmy Collins,1971,,,1972,,
John Collins,2018,19,,2022,,
Mardy Collins,2007,29,,2010,,
Sherron Collins,2011,,,2011,,
Zach Collins,2018,10,,2022,,
Kyle Collinsworth,2018,,,2018,,
Darren Collison,2010,21,,2022,,
Nick Collison,2005,12,,2018,,
Joe Colone,1949,,,1949,,
Bonzie Colson,2019,,,2019,,
Sean Colson,2001,,,2001,,
Steve Colter,1985,,,1995,,
Glen Combs,1969,,,1975,,
Leroy Combs,1984,,,1984,,
John Comeaux,1968,,,1968,,
Dallas Comegys,1988,,,1989,,
Larry Comley,1964,,,1964,,
Jeffrey Congdon,1968,,,1972,,
Gene Conley,1953,,,1964,,
Larry Conley,1968,,,1968,,
Mike Conley,2008,4,,2022,,
Ed Conlin,1956,,,1962,,
Marty Conlon,1992,,,2000,,
Pat Connaughton,2016,41,,2022,,
Jimmy Conner,1976,,,1976,,
Lester Conner,1983,,,1995,,
Chuck Connors,1947,,,1948,,
Will Conroy,2007,,,2013,,
Anthony Cook,1991,,,1996,,
Bert Cook,1955,,,1955,,
Bobby Cook,1950,,,1950,,
Brian Cook,2004,24,,2012,,
Daequan Cook,2008,21,,2013,,
Darwin Cook,1981,,,1989,,
Jeff Cook,1980,,,1988,,
Norm Cook,1977,,,1978,,
Omar Cook,2004,32,,2005,,
Quinn Cook,2017,,,2021,,
Tyler Cook,2020,,,2022,,
Charles Cooke,2018,,,2018,,
David Cooke,1986,,,1986,,
Joe Cooke,1971,,,1971,,
Jack Cooley,2015,,,2018,,
Chuck Cooper*,1951,,,1956,,
Duane Cooper,1993,36,,1994,,
Joe Cooper,1982,,,1985,,
Michael Cooper,1979,,,1990,,
Sharife Cooper,2022,48,,2022,,
Wayne Cooper,1979,,,1992,,
Tom Copa,1992,,,1992,,
Chris Copeland,2013,,,2016,,
Hollis Copeland,1980,,,1982,,
Lanard Copeland,1990,,,1992,,
Tyrone Corbin,1986,,,2001,,
Chris Corchiani,1992,36,,1994,,
Ken Corley,1947,,,1947,,
Ray Corley,1950,,,1953,,
Petr Cornelie,2022,53,,2022,,
Dave Corzine,1979,,,1991,,
Larry Costello*,1955,,,1968,,
Matt Costello,2018,,,2018,,
Bryce Cotton,2015,,,2016,,
Jack Cotton,1950,,,1950,,
James Cotton,1998,32,,1999,,
John Coughran,1980,,,1980,,
Mel Counts,1965,,,1976,,
Steve Courtin,1965,,,1965,,
Joe Courtney,1993,,,1997,,
Marcus Cousin,2011,5,,2011,,
DeMarcus Cousins,2011,5,,2022,,
Bob Cousy*,1951,,,1970,,
Robert Covington,2014,,,2022,,
Dave Cowens*,1971,,,1983,,
Chubby Cox,1983,,,1983,,
Johnny Cox,1963,,,1963,,
Wesley Cox,1978,,,1979,,
Allen Crabbe,2014,31,,2020,,
Torrey Craig,2018,,,2022,,
Chris Crawford,1998,50,,2004,,
Freddie Crawford,1967,,,1971,,
Jamal Crawford,2001,8,,2020,,
Joe Crawford,2009,58,,2009,,
Jordan Crawford,2011,27,,2018,,
Mitch Creek,2019,,,2019,,
Jim Creighton,1976,,,1976,,
Ron Crevier,1986,,,1986,,
Hal Crisler,1947,,,1947,,
Joe Crispin,2002,,,2002,,
Charlie Criss,1978,,,1985,,
Russell Critchfield,1969,,,1969,,
Winston Crite,1988,,,1989,,
Javaris Crittenton,2008,19,,2009,,
Dillard Crocker,1949,,,1953,,
Bobby Croft,1971,,,1971,,
Geoff Crompton,1979,,,1984,,
Terry Crosby,1980,,,1980,,
Austin Croshere,1998,12,,2009,,
Jeff Cross,1986,,,1986,,
Pete Cross,1971,,,1973,,
Russell Cross,1984,,,1984,,
Chink Crossin,1948,,,1950,,
John Crotty,1993,,,2003,,
Bill Crow,1968,,,1968,,
Mark Crow,1978,,,1978,,
Corey Crowder,1992,,,1995,,
Jae Crowder,2013,34,,2022,,
Al Cueto,1970,,,1971,,
Jarrett Culver,2020,6,,2022,,
Jarron Cumberland,2022,,,2022,,
Pat Cummings,1980,,,1991,,
Terry Cummings,1983,,,2000,,
Vonteego Cummings,2000,26,,2002,,
Billy Cunningham*,1966,,,1976,,
Cade Cunningham,2022,1,,2022,,
Dante Cunningham,2010,33,,2019,,
Dick Cunningham,1969,,,1975,,
Jared Cunningham,2013,24,,2016,,
William Cunningham,1998,,,1999,,
Radisav Ćurčić,1993,,,1993,,
Armand Cure,1947,,,1947,,
Earl Cureton,1981,,,1997,,
Bill Curley,1995,22,,2001,,
Fran Curran,1949,,,1950,,
Dell Curry,1987,,,2002,,
Eddy Curry,2002,4,,2013,,
JamesOn Curry,2010,51,,2010,,
Michael Curry,1994,,,2005,,
Seth Curry,2014,,,2022,,
Stephen Curry,2010,7,,2022,,
Rastko Cvetković,1996,,,1996,,
Mike D'Antoni,1974,,,1977,,
Mike Dabich,1968,,,1968,,
Ed Dahler,1952,,,1952,,
Quintin Dailey,1983,,,1992,,
Samuel Dalembert,2002,26,,2015,,
Howie Dallmar,1947,,,1949,,
Erick Dampier,1997,10,,2012,,
Louie Dampier*,1968,,,1979,,
Bob Dandridge*,1970,,,1982,,
Antonio Daniels,1998,4,,2011,,
Erik Daniels,2005,,,2005,,
Lloyd Daniels,1993,,,1998,,
Marquis Daniels,2004,,,2013,,
Mel Daniels*,1968,,,1977,,
Troy Daniels,2014,,,2020,,
Sasha Danilović,1996,43,,1997,,
Sasha Danilović,1996,19,,1997,,
Adrian Dantley*,1977,,,1991,,
Pete Darcey,1953,,,1953,,
Jimmy Darden,1950,,,1950,,
Ollie Darden,1968,,,1970,,
Yinka Dare,1995,14,,1998,,
Jesse Dark,1975,,,1975,,
Nate Darling,2021,,,2021,,
Rick Darnell,1976,,,1976,,
Jimmy Darrow,1962,,,1962,,
Gigi Datome,2014,,,2015,,
Brad Daugherty,1987,,,1994,,
Mack Daughtry,1971,,,1971,,
Kornél Dávid,1999,,,2001,,
Jermareo Davidson,2008,36,,2009,,
Bob Davies*,1949,,,1955,,
Brandon Davies,2014,,,2015,,
Anthony Davis,2013,1,,2022,,
Antonio Davis,1994,45,,2006,,
Aubrey Davis,1947,,,1947,,
Baron Davis,2000,3,,2012,,
Ben Davis,1997,43,,2000,,
Bill Davis,1947,,,1947,,
Bob Davis,1973,,,1973,,
Brad Davis,1978,,,1992,,
Brian Davis,1994,48,,1994,,
Charles Davis,1982,,,1990,,
Charlie Davis,1972,,,1974,,
Dale Davis,1992,13,,2007,,
Deyonta Davis,2017,31,,2019,,
Dwight Davis,1973,,,1977,,
Ed Davis,2011,13,,2022,,
Emanual Davis,1997,,,2003,,
Glen Davis,2008,35,,2015,,
Harry Davis,1979,,,1980,,
Hubert Davis,1993,20,,2004,,
Jim Davis,1968,,,1975,,
Johnny Davis,1977,10,,1986,,
Josh Davis,2004,,,2012,,
Lee Davis,1969,30,,1976,,
Mark Davis,1989,48,,1989,,
Mark Davis,1996,48,,2000,,
Mel Davis,1974,,,1977,,
Mickey Davis,1972,21,,1977,,
Mike Davis,1970,,,1973,,
Mike Davis,1983,,,1983,,
Monti Davis,1981,,,1981,,
Paul Davis,2007,34,,2010,,
Ralph Davis,1961,,,1962,,
Red Davis,1956,13,,1956,,
Ricky Davis,1999,21,,2010,,
Ron Davis,1977,,,1982,,
Terence Davis,2020,,,2022,,
Terry Davis,1990,,,2001,,
Tyler Davis,2019,,,2019,,
Walt Davis,1954,,,1958,,
Walter Davis,1978,,,1992,,
Warren Davis,1968,,,1973,,
Willie Davis,1971,,,1971,,
Andre Dawkins,2015,,,2015,,
Darryl Dawkins,1976,,,1989,,
Johnny Dawkins,1987,,,1995,,
Paul Dawkins,1980,,,1980,,
Branden Dawson,2016,56,,2016,,
Eric Dawson,2012,,,2012,,
Jimmy Dawson,1968,,,1968,,
Tony Dawson,1991,,,1995,,
Todd Day,1993,8,,2001,,
Austin Daye,2010,15,,2015,,
Darren Daye,1984,,,1988,,
Nando De Colo,2013,53,,2014,,
Billy DeAngelis,1971,,,1971,,
Dave DeBusschere*,1963,,,1974,,
Andrew DeClercq,1996,34,,2005,,
Javin DeLaurier,2022,,,2022,,
Nate DeLong,1952,,,1952,,
Joe DePre,1971,,,1973,,
DeMar DeRozan,2010,9,,2022,,
Hank DeZonie,1951,,,1951,,
Greg Deane,1980,,,1980,,
Gabriel Deck,2021,,,2022,,
Dewayne Dedmon,2014,,,2022,,
Don Dee,1969,,,1969,,
Archie Dees,1959,,,1962,,
Terry Dehere,1994,13,,1999,,
Red Dehnert,1947,,,1947,,
Bryce Dejean-Jones,2016,,,2016,,
Sam Dekker,2016,18,,2022,,
Vinny Del Negro,1989,,,2002,,
Malcolm Delaney,2017,,,2018,,
Bison Dele,1992,10,,1999,,
Carlos Delfino,2005,25,,2013,,
Ángel Delgado,2019,,,2019,,
Tony Delk,1997,16,,2006,,
Matthew Dellavedova,2014,,,2021,,
Fennis Dembo,1989,,,1989,,
Larry Demic,1980,,,1982,,
Dell Demps,1994,,,1997,,
George Dempsey,1955,,,1959,,
Luol Deng,2005,7,,2019,,
Kenny Dennard,1982,,,1984,,
Blaine Denning,1953,,,1953,,
Justin Dentmon,2012,,,2013,,
Randy Denton,1972,,,1977,,
Rod Derline,1975,,,1976,,
Marcus Derrickson,2019,,,2019,,
Dave Deutsch,1967,,,1967,,
Corky Devlin,1956,,,1958,,
Ernie DiGregorio,1974,,,1978,,
Donte DiVincenzo,2019,17,,2022,,
Mamadi Diakite,2021,,,2022,,
Derrick Dial,2000,52,,2004,,
Cheick Diallo,2017,33,,2022,,
Hamidou Diallo,2019,45,,2022,,
Boris Diaw,2004,21,,2017,,
Yakhouba Diawara,2007,,,2010,,
Guillermo Díaz,2008,52,,2008,,
Dan Dickau,2003,28,,2008,,
Kaniel Dickens,2004,50,,2008,,
Henry Dickerson,1976,,,1977,,
Michael Dickerson,1999,14,,2003,,
Clyde Dickey,1975,,,1975,,
Derrek Dickey,1974,,,1978,,
Dick Dickey,1952,,,1952,,
John Dickson,1968,,,1968,,
Travis Diener,2006,38,,2010,,
Gorgui Dieng,2014,21,,2022,,
Connie Dierking,1959,,,1971,,
Coby Dietrick,1971,,,1983,,
Craig Dill,1968,,,1968,,
Dwaine Dillard,1976,,,1976,,
Mickey Dillard,1982,,,1982,,
Bob Dille,1947,,,1947,,
Hook Dillon,1950,,,1950,,
Byron Dinkins,1990,,,1991,,
Jackie Dinkins,1972,,,1972,,
Harry Dinnel,1968,,,1968,,
Bill Dinwiddie,1968,,,1972,,
Spencer Dinwiddie,2015,38,,2022,,
Ike Diogu,2006,9,,2012,,
DeSagana Diop,2002,8,,2013,,
Terry Dischinger,1963,,,1973,,
Fred Diute,1955,,,1955,,
Vlade Divac*,1990,,,2005,,
Juan Dixon,2003,17,,2009,,
Earl Dodd,1950,,,1950,,
Michael Doleac,1999,12,,2008,,
Joe Dolhon,1950,,,1951,,
Bob Doll,1947,,,1950,,
James Donaldson,1981,,,1995,,
Luka Dončić,2019,3,,2022,,
Bob Donham,1951,,,1954,,
Billy Donovan,1988,,,1988,,
Harry Donovan,1950,,,1950,,
Keyon Dooling,2001,10,,2013,,
Aleksandar Djordjevic,1997,,,1997,,
Jacky Dorsey,1978,,,1981,,
Joey Dorsey,2009,33,,2015,,
Ron Dorsey,1972,,,1972,,
Tyler Dorsey,2018,41,,2019,,
Luguentz Dort,2020,,,2022,,
Ayo Dosunmu,2022,38,,2022,,
Damyean Dotson,2018,44,,2022,,
Devon Dotson,2021,,,2022,,
Quincy Douby,2007,19,,2009,,
Bruce Douglas,1987,,,1987,,
John Douglas,1982,,,1983,,
Leon Douglas,1977,,,1983,,
Sherman Douglas,1990,,,2001,,
Toney Douglas,2010,29,,2017,,
Chris Douglas-Roberts,2009,40,,2015,,
Sekou Doumbouya,2020,15,,2022,,
Sonny Dove,1968,,,1972,,
Jerry Dover,1972,,,1972,,
Zabian Dowdell,2011,,,2011,,
Bill Downey,1948,,,1948,,
Steve Downing,1974,,,1975,,
Jeff Dowtin,2022,,,2022,,
Danny Doyle,1963,,,1963,,
Milton Doyle,2018,,,2018,,
PJ Dozier,2018,,,2022,,
Terry Dozier,1990,16,,1990,,
Goran Dragić,2009,45,,2022,,
Zoran Dragić,2015,45,,2015,,
Greg Dreiling,1987,,,1997,,
Bryce Drew,1999,16,,2004,,
John Drew,1975,,,1985,,
Larry Drew,1981,57,,1991,,
Larry Drew II,2015,,,2018,,
Clyde Drexler*,1984,,,1998,,
Nate Driggers,1997,,,1997,,
Terry Driscoll,1971,,,1975,,
Predrag Drobnjak,2002,48,,2005,,
Ralph Drollinger,1981,,,1981,,
Andre Drummond,2013,9,,2022,,
Dennis DuVal,1975,,,1976,,
Chris Duarte,2022,13,,2022,,
Dick Duckett,1958,,,1958,,
Kevin Duckworth,1987,,,1997,,
Charles Dudley,1973,,,1979,,
Chris Dudley,1988,,,2003,,
Jared Dudley,2008,22,,2021,,
Terry Duerod,1980,,,1983,,
Bob Duffy,1947,,,1947,,
Bob Duffy,1963,,,1965,,
Chris Duhon,2005,38,,2013,,
Duje Dukan,2016,,,2016,,
David Duke Jr.,2022,,,2022,,
Walter Dukes,1956,,,1963,,
Joe Dumars*,1986,,,1999,,
Rich Dumas,1969,,,1969,,
Richard Dumas,1993,46,,1996,,
Tony Dumas,1995,19,,1998,,
Andy Duncan,1949,,,1951,,
Tim Duncan*,1998,1,,2016,,
Mike Dunleavy,1977,3,,1990,,
Mike Dunleavy,2003,3,,2017,,
Kris Dunn,2017,5,,2022,,
Pat Dunn,1958,,,1958,,
T.R. Dunn,1978,,,1991,,
Ronald Dupree,2004,,,2011,,
Kevin Durant,2008,2,,2022,,
John Duren,1981,,,1983,,
Jarrett Durham,1972,,,1972,,
Pat Durham,1993,,,1995,,
Devin Durrant,1985,2,,1986,,
Ken Durrett,1972,,,1975,,
Trevon Duval,2019,,,2019,,
Jack Dwan,1949,,,1949,,
Craig Dykema,1982,,,1982,,
Gene Dyker,1954,,,1954,,
Jerome Dyson,2012,,,2012,,
Ledell Eackles,1989,,,1998,,
Jim Eakins,1969,,,1978,,
Acie Earl,1994,19,,1997,,
Ed Earle,1954,,,1954,,
Cleanthony Early,2015,34,,2016,,
Penny Early,1969,,,1969,,
Mark Eaton,1983,,,1993,,
Jerry Eaves,1983,,,1987,,
Devin Ebanks,2011,43,,2013,,
Bill Ebben,1958,,,1958,,
Al Eberhard,1975,,,1978,,
Ndudi Ebi,2004,26,,2005,,
Roy Ebron,1974,,,1974,,
Jaime Echenique,2022,,,2022,,
Jarell Eddie,2016,,,2018,,
Patrick Eddie,1992,,,1992,,
Dike Eddleman,1950,,,1953,,
Kenton Edelin,1985,,,1985,,
Charles Edge,1974,,,1975,,
Bobby Edmonds,1968,,,1970,,
Keith Edmonson,1983,,,1984,,
Tyus Edney,1996,47,,2001,,
Anthony Edwards,2021,1,,2022,,
Bill Edwards,1994,,,1994,,
Blue Edwards,1990,,,1999,,
Carsen Edwards,2020,33,,2022,,
Corsley Edwards,2005,58,,2005,,
Doug Edwards,1994,15,,1996,,
Franklin Edwards,1982,,,1988,,
James Edwards,1978,,,1996,,
Jay Edwards,1990,,,1990,,
John Edwards,2005,,,2006,,
Kessler Edwards,2022,44,,2022,,
Kevin Edwards,1989,,,2001,,
Rob Edwards,2022,,,2022,,
Shane Edwards,2014,,,2014,,
Vince Edwards,2019,52,,2019,,
Johnny Egan,1962,,,1972,,
Lonnie Eggleston,1949,,,1949,,
Bulbs Ehlers,1948,,,1949,,
Craig Ehlo,1984,,,1997,,
Rich Eichhorst,1962,,,1962,,
Howard Eisley,1995,30,,2006,,
Obinna Ekezie,2000,37,,2005,,
Khalid El-Amin,2001,34,,2001,,
Don Eliason,1947,,,1947,,
Mario Elie,1991,,,2001,,
CJ Elleby,2021,46,,2022,,
Ray Ellefson,1949,,,1951,,
Henry Ellenson,2017,18,,2021,,
Wayne Ellington,2010,28,,2022,,
Bob Elliott,1979,,,1981,,
Sean Elliott,1990,,,2001,,
Bo Ellis,1978,,,1980,,
Boo Ellis,1959,,,1960,,
Dale Ellis,1984,,,2000,,
Harold Ellis,1994,,,1998,,
Joe Ellis,1967,,,1974,,
LaPhonso Ellis,1993,5,,2003,,
LeRon Ellis,1992,22,,1996,,
Leroy Ellis,1963,22,,1976,,
Monta Ellis,2006,40,,2017,,
Pervis Ellison,1990,,,2001,,
Len Elmore,1975,,,1984,,
Francisco Elson,2004,41,,2012,,
Darrell Elston,1975,,,1977,,
Melvin Ely,2003,12,,2014,,
Joel Embiid,2017,3,,2022,,
Wayne Embry*,1959,,,1969,,
Andre Emmett,2005,35,,2012,,
Ned Endress,1947,,,1947,,
Wayne Engelstad,1989,,,1989,,
Chris Engler,1983,,,1988,,
A.J. English,1991,37,,1992,,
Alex English*,1977,,,1991,,
Claude English,1971,,,1971,,
Jo Jo English,1993,,,1995,,
Kim English,2013,44,,2013,,
Scott English,1973,,,1975,,
Gene Englund,1950,,,1950,,
James Ennis III,2015,50,,2022,,
Tyler Ennis,2015,18,,2018,,
Ray Epps,1979,,,1979,,
Semih Erden,2011,60,,2012,,
Bo Erias,1958,,,1958,,
Keith Erickson,1966,,,1977,,
Julius Erving*,1972,,,1987,,
Evan Eschmeyer,2000,34,,2003,,
Jack Eskridge,1949,,,1949,,
Vincenzo Esposito,1996,,,1996,,
Drew Eubanks,2019,,,2022,,
Billy Evans,1970,,,1970,,
Bob Evans,1950,,,1950,,
Brian Evans,1997,27,,1999,,
Earl Evans,1980,,,1980,,
Jacob Evans,2019,28,,2020,,
Jawun Evans,2018,39,,2019,,
Jeremy Evans,2011,55,,2018,,
Maurice Evans,2002,,,2012,,
Mike Evans,1980,,,1988,,
Reggie Evans,2003,,,2015,,
Tyreke Evans,2010,4,,2019,,
Daniel Ewing,2006,32,,2007,,
Patrick Ewing*,1986,43,,2002,,
Patrick Ewing,2011,43,,2011,,
Dante Exum,2015,5,,2021,,
Christian Eyenga,2011,30,,2012,,
Festus Ezeli,2013,30,,2016,,
Johnny Ezersky,1948,,,1950,,
Joe Fabel,1947,,,1947,,
John Fairchild,1966,,,1970,,
Tacko Fall,2020,,,2022,,
Phil Farbman,1949,,,1949,,
Kenneth Faried,2012,22,,2019,,
Dick Farley,1955,,,1959,,
Jordan Farmar,2007,26,,2017,,
Desmon Farmer,2007,,,2009,,
Jim Farmer,1988,,,1994,,
Mike Farmer,1959,,,1966,,
Tony Farmer,1998,28,,2000,,
Bob Faught,1947,,,1947,,
Vítor Luiz Faverani,2014,,,2014,,
Derrick Favors,2011,3,,2022,,
Nick Fazekas,2008,34,,2008,,
Dave Fedor,1963,,,1963,,
Bob Feerick,1947,,,1950,,
Butch Feher,1977,,,1977,,
Jamie Feick,1997,48,,2001,,
Ron Feiereisel,1956,,,1956,,
George Feigenbaum,1950,,,1953,,
Dave Feitl,1987,,,1992,,
Kay Felder,2017,54,,2018,,
Cristiano Felício,2016,,,2021,,
Carrick Felix,2014,33,,2014,,
Noel Felix,2006,,,2006,,
Ray Felix,1954,,,1962,,
Raymond Felton,2006,5,,2019,,
Jake Fendley,1952,,,1953,,
Warren Fenley,1947,,,1947,,
Desmond Ferguson,2004,,,2004,,
Terrance Ferguson,2018,21,,2021,,
Rudy Fernández,2009,24,,2012,,
Bruno Fernando,2020,34,,2022,,
Eric Fernsten,1976,,,1984,,
Al Ferrari,1956,,,1963,,
Rolando Ferreira,1989,,,1989,,
Duane Ferrell,1989,,,1999,,
Yogi Ferrell,2017,,,2021,,
Arnie Ferrin,1949,,,1951,,
Bob Ferry,1960,,,1969,,
Danny Ferry,1991,,,2003,,
Kyrylo Fesenko,2008,38,,2012,,
Bobby Fields,1972,,,1972,,
Kenny Fields,1985,,,1988,,
Landry Fields,2011,39,,2015,,
Ron Filipek,1968,,,1968,,
Greg Fillmore,1971,,,1972,,
Larry Finch,1974,,,1975,,
Hank Finkel,1967,,,1975,,
Michael Finley,1996,21,,2010,,
Danny Finn,1953,,,1955,,
Dorian Finney-Smith,2017,,,2022,,
Matt Fish,1995,50,,1997,,
Derek Fisher,1997,24,,2014,,
Richard Fisher,1972,,,1972,,
Gerald Fitch,2006,,,2006,,
Malik Fitts,2021,,,2022,,
Bob Fitzgerald,1947,,,1949,,
Dick Fitzgerald,1947,,,1948,,
Marcus Fizer,2001,4,,2006,,
Jerry Fleishman,1947,,,1953,,
Al Fleming,1978,,,1978,,
Ed Fleming,1956,,,1960,,
Vern Fleming,1985,,,1996,,
Luis Flores,2005,55,,2005,,
Bruce Flowers,1983,,,1983,,
Sleepy Floyd,1983,,,1995,,
Jonny Flynn,2010,6,,2012,,
Malachi Flynn,2021,29,,2022,,
Mike Flynn,1976,,,1978,,
Larry Fogle,1976,,,1976,,
Jack Foley,1963,,,1963,,
Isaac Fontaine,2002,,,2002,,
Levi Fontaine,1971,,,1971,,
Jeff Foote,2012,,,2012,,
Bryn Forbes,2017,,,2022,,
Gary Forbes,2011,,,2012,,
Aleem Ford,2022,,,2022,,
Alphonso Ford,1994,32,,1995,,
Alton Ford,2002,51,,2004,,
Bob Ford,1973,,,1973,,
Chris Ford,1973,,,1982,,
Don Ford,1976,,,1982,,
Jake Ford,1971,,,1972,,
Phil Ford,1979,,,1985,,
Sharrod Ford,2006,,,2006,,
Sherell Ford,1996,26,,1996,,
T.J. Ford,2004,8,,2012,,
Donnie Forman,1949,,,1949,,
Bayard Forrest,1978,,,1979,,
Trent Forrest,2021,,,2022,,
Joseph Forte,2002,21,,2003,,
Courtney Fortson,2012,,,2012,,
Danny Fortson,1998,10,,2007,,
Fred Foster,1969,,,1977,,
Greg Foster,1991,35,,2003,,
Jeff Foster,2000,21,,2012,,
Jimmy Foster,1975,,,1976,,
Rod Foster,1984,,,1986,,
Antonis Fotsis,2002,48,,2002,,
Evan Fournier,2013,20,,2022,,
Larry Foust,1951,,,1962,,
Calvin Fowler,1970,,,1970,,
Jerry Fowler,1952,,,1952,,
Tremaine Fowlkes,2002,54,,2005,,
De'Aaron Fox,2018,5,,2022,,
Harold Fox,1973,,,1973,,
Jim Fox,1968,,,1977,,
Rick Fox,1992,24,,2004,,
Randy Foye,2007,7,,2017,,
Adonal Foyle,1998,8,,2009,,
Richie Frahm,2004,,,2008,,
Steve Francis,2000,2,,2008,,
Tellis Frank,1988,,,1994,,
Nat Frankel,1947,,,1947,,
Jamaal Franklin,2014,41,,2015,,
William Franklin,1973,,,1976,,
Robert Franks,2021,,,2021,,
Ronald Franz,1968,,,1973,,
Melvin Frazier,2019,35,,2022,,
Michael Frazier,2020,,,2020,,
Tim Frazier,2015,,,2022,,
Walt Frazier*,1968,,,1980,,
Will Frazier,1966,,,1969,,
Anthony Frederick,1989,,,1992,,
Jimmer Fredette,2012,10,,2019,,
World B. Free,1976,,,1988,,
Enes Freedom,2012,3,,2022,,
Joel Freeland,2013,30,,2015,,
Donnie Freeman,1968,,,1976,,
Gary Freeman,1971,,,1971,,
Rod Freeman,1974,,,1974,,
Matt Freije,2005,53,,2007,,
Frido Frey,1947,,,1947,,
Larry Friend,1958,,,1958,,
Pat Frink,1969,,,1969,,
Jim Fritsche,1954,,,1955,,
Channing Frye,2006,8,,2019,,
Bernie Fryer,1974,,,1975,,
Frank Fucarino,1947,,,1947,,
Herm Fuetsch,1948,,,1948,,
Joe Fulks*,1947,,,1954,,
Carl Fuller,1971,,,1972,,
Hiram Fuller,2004,,,2004,,
Todd Fuller,1997,11,,2001,,
Tony Fuller,1981,,,1981,,
Markelle Fultz,2018,1,,2022,,
Lawrence Funderburke,1998,51,,2005,,
Terry Furlow,1977,,,1980,,
Bill Gabor,1950,,,1955,,
Wenyen Gabriel,2020,,,2022,,
