p_name,p_draftYear,p_draftPick,p_draftPos,Last Active Year,p_games,p_stats
Deni Avdija,2021,9,,2022,,
Anthony Avent,1993,15,,2000,,
Bird Averitt,1974,,,1978,,
William Avery,2000,14,,2002,,
Dennis Awtrey,1971,,,1982,,
Joel Ayayi,2022,,,2022,,
Gustavo Ayón,2012,,,2014,,
Jeff Ayres,2010,31,,2016,,
Deandre Ayton,2019,1,,2022,,
Kelenna Azubuike,2007,,,2012,,
Udoka Azubuike,2021,27,,2022,,
Chris Babb,2014,,,2014,,
Luke Babbitt,2011,16,,2018,,
Miloš Babić,1991,50,,1992,,
Johnny Bach,1949,,,1949,,
Dwayne Bacon,2018,40,,2021,,
Henry Bacon,1973,,,1973,,
Jim Baechtold,1953,,,1957,,
Dalibor Bagarić,2001,24,,2003,,
John Bagley,1983,,,1994,,
Marvin Bagley III,2019,2,,2022,,
Carl Bailey,1982,,,1982,,
Gus Bailey,1975,,,1980,,
James Bailey,1980,,,1988,,
Thurl Bailey,1984,,,1999,,
Toby Bailey,1999,45,,2000,,
Toby Bailey,1999,28,,2000,,
Cameron Bairstow,2015,49,,2016,,
Jimmie Baker,1976,,,1976,,
Mark Baker,1999,,,1999,,
Maurice Baker,2005,,,2005,,
Norm Baker,1947,,,1947,,
Ron Baker,2017,,,2019,,
Vin Baker,1994,8,,2006,,
Wade Baldwin,2017,17,,2019,,
Renaldo Balkman,2007,20,,2012,,
Cedric Ball,1991,,,1991,,
LaMelo Ball,2021,3,,2022,,
Lonzo Ball,2018,2,,2022,,
Greg Ballard,1978,,,1989,,
Herschel Baltimore,1947,,,1947,,
Mo Bamba,2019,6,,2022,,
Desmond Bane,2021,30,,2022,,
Gene Banks,1982,,,1987,,
Marcus Banks,2004,13,,2011,,
Walker Banks,1971,,,1971,,
Ken Bannister,1985,,,1991,,
Mike Bantom,1974,,,1982,,
Dalano Banton,2022,46,,2022,,
Cat Barber,2022,,,2022,,
John Barber,1957,,,1957,,
