Henry Akin,3,88,3.5,2.1,0.5,35,0,67.6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Akognon,1,3,1.7,0.3,0.3,50,50,73.7,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeVaughn Akoon-Purcell,1,7,1,0.6,0.9,30,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Alabi,2,26,1.5,2.3,0.2,31.4,14.2,70,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Alarie,5,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Alcorn,2,78,3.3,4.2,0.3,29.3,14.2,59.8,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santi Aldama,1,32,4.1,2.7,0.7,40.2,12.5,62.5,42.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furkan Aldemir,1,41,2.3,4.3,0.7,51.3,0,48.1,51.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Aldrich,8,339,3.1,3.3,0.5,52.7,14.2,73.8,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaMarcus Aldridge,16,1076,19.1,8.1,1.9,49.3,32,81.3,49.9,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuck Aleksinas,1,74,5.1,3.6,0.5,47.8,0,73.3,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliff Alexander,1,8,1.3,0.8,0,50,23.4,67.6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cory Alexander,10,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Alexander,3,187,9,2.2,1.2,42.2,33.9,81.3,43.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Alexander,1,11,1.7,1.4,0.2,57.1,23.4,33.3,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Alexander,2,67,4.2,1.8,0.7,41,34,69.8,44.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Alexander,1,2,1,1.5,0,50,23.4,67.6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty-Shon Alexander,1,15,0.6,0.7,0.4,25,22.2,50,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Alexander,11,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nickeil Alexander-Walker,3,158,9.3,2.6,2.2,38.7,32.9,72.6,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Alford,4,169,4.4,0.9,1,45.9,32.4,87,48.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rawle Alkins,1,10,3.7,2.6,1.3,33.3,25,66.7,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Allen,1,38,7.9,7.1,0.6,42.9,100,58.6,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Allen,1,27,1.8,2.1,0.4,32.6,23.4,55.6,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grayson Allen,4,192,9.4,2.6,1.5,43.3,39.3,84.1,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett Allen,5,341,11.6,8.7,1.4,62.6,18.9,69.9,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Allen,2,117,2.9,1.1,1.7,35,31.7,63,41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadeem Allen,3,47,5.5,1.5,2.3,43.5,34.9,75.7,48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavoy Allen,6,388,4.8,4.8,1,47.1,13.3,68.2,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucius Allen,10,702,13.4,3.1,4.5,46.3,27.9,76,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Allen,10,478,4.9,2.8,0.5,43.9,18.8,77.8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Allen,2,70,3.6,2.1,0.3,44.2,0,53.3,44.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Allen*,18,1300,18.9,4.1,3.4,45.2,40,89.4,53,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Tony Allen,14,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Willie Allen,1,7,1.9,2,0.6,30.8,23.4,83.3,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odis Allison,1,36,1.9,1.3,0.3,21.8,23.4,54.1,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lance Allred,1,3,1,0.3,0,25,14.2,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrell Allums,1,22,2.7,3,1.1,34.3,0,59.1,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morris Almond,5,38,3.1,1.2,0.3,38.1,29.2,74.3,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Alston,3,139,5.4,3.8,0.7,48.9,14.3,48.7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafer Alston,11,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Aluma,1,2,1,1,0,50,14.2,62.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Alvarado,1,54,6.1,1.9,2.8,44.6,29.1,67.9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Amaechi,8,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashraf Amaya,2,85,4.5,4.2,0.4,45.5,50,63.3,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Farouq Aminu,11,711,7.5,6,1.2,42,33.2,74.6,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lou Amundson,10,428,3.7,3.6,0.4,47.4,0,44.4,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Anderegg,1,33,4,2.1,0.9,38.5,28.6,54.8,47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Andersen,16,695,5.4,5,0.5,53.2,22.1,65.4,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
David Andersen,2,103,4.9,2.8,0.6,44,34.7,67.4,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Anderson,12,330,7.3,2.2,1.1,40.5,34.4,81.6,48.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Anderson,3,194,10.7,2.7,1.7,41,15.9,75.5,41.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Anderson,1,1,2,1,0,33.3,27.9,73.7,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliff Anderson,4,84,3,1.3,0.9,35.4,28.6,58.5,35.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Anderson,2,140,12.2,9.4,1.1,48.1,14.2,72.7,48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Anderson,2,95,3.7,1,1.7,47.2,27.9,84.6,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Anderson,11,615,12,3.2,3.4,40.8,34.1,85.3,46.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dwight Anderson,1,5,4.2,0.4,0.6,50,27.9,70,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Anderson,2,27,1.6,1.1,0.2,34.3,100,59.3,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Anderson,11,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Anderson,3,157,4.8,2.8,0.7,46.5,0,55.8,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Anderson,6,247,5.8,2.3,1.2,41.1,32.1,75.5,48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Anderson,2,49,2.6,0.5,0.3,49,27.9,69.4,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Anderson,7,242,5.3,2.6,0.8,41,29.2,77.5,48.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Anderson,14,858,12.6,3.1,6.1,42.1,34.6,79,44.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kim Anderson,1,21,3,2.1,0.7,31.2,23.4,53.6,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Anderson,8,505,6.7,4.4,2.3,47.6,33.4,71.1,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
